shard,split,video_id,mean_flow_magnitude,median_flow_magnitude,p90_flow_magnitude,mean_fb_error,fb_consistency_ratio_pair,mean_warp_error,human_mask_coverage,human_mean_flow_magnitude,human_mean_fb_error,human_fb_consistency_ratio,human_mean_warp_error,pairs
Dataset_Shard_0300000_0399999,train,gZNb0Jwiu7c,4.833226293921471,3.301499277539551,11.353721325397492,2.273737275265157,0.6481944729602516,30.689877536296844,0.29987105389030616,6.998274284601211,2.634198743999004,0.5273749524056784,38.77135449409485,200
Dataset_Shard_0300000_0399999,train,gcMtz5Gyj2A,0.9499471105262637,0.19777127903886138,3.560573119819164,0.38500280167907475,0.9439085176909718,5.085889219939709,0.0796158522002551,4.386740584522486,1.2802780226804316,0.8051653175981248,19.255535784959793,200
Dataset_Shard_0300000_0399999,train,gcsbxVIuYr4,6.830245840251446,7.023228007256985,13.08444228887558,2.729527909718454,0.6987102116817109,14.78527643918991,0.10012466119260204,9.751333457827569,2.1387929534353316,0.7170883784022672,22.364858211278914,200
Dataset_Shard_0300000_0399999,train,gdh2-9qm8fE,3.4826651268452404,0.4196301701141056,11.245976335704327,2.1038882050663235,0.768563580761641,16.427151085734366,0.19259177694515306,8.854863639473916,3.733222306445241,0.5116480359422657,37.85954666852951,200
Dataset_Shard_0300000_0399999,train,gpSJUuKG1rY,3.6456268160045147,1.4440283999964594,10.305669930577277,1.7012789937108754,0.7664264458742338,15.544785389900207,0.194432298309949,7.640126771330833,2.7875033843517305,0.574833212775073,31.635397334098815,200
Dataset_Shard_0300000_0399999,train,gtUBWqX0ceM,5.7760223957896235,4.799504324328154,11.5532600826025,2.657771654613316,0.716027871955721,25.046486288309097,0.1578904257015306,7.141655074059964,1.6934965118393301,0.7136802960949111,32.94671698689461,200
Dataset_Shard_0300000_0399999,train,h6yjx26N9WE,2.6594573137164117,0.9218590552825481,7.982005485296249,1.242004917114973,0.826148659374984,13.262186544537544,0.22117436623086736,5.684119480418158,1.8107828521307239,0.6949828014319799,24.7586094653327,200
Dataset_Shard_0300000_0399999,train,hT-ia0Oj-VE,7.918677767217159,7.11599665671587,14.56019914984703,3.3360839144140484,0.4954354429378267,43.302582595348355,0.23707130899234696,8.339003285765648,3.4157277730852367,0.46192175537778746,45.57398140192032,200
Dataset_Shard_0300000_0399999,train,haSfscv0K_Q,4.808338797390461,2.2308774764463304,12.52178032513708,2.424917429946363,0.6998089727569026,22.326495772600175,0.2695378268494898,8.940420722588897,3.0820872944034634,0.5438049217127944,37.3540169352293,200
Dataset_Shard_0300000_0399999,train,hds-48OBLUc,2.4209753695875404,0.57122011470492,7.70305544257164,1.281106961639598,0.8443550714651431,7.582523074150085,0.14677834024234693,5.675710698366165,1.7550734050944448,0.7216904328073633,16.076313138008118,200
