video_id,split,shard,temporal_distance,pairs,mean_motion_magnitude,median_motion_magnitude,p90_motion_magnitude,mean_motion_coverage,mean_dx,mean_dy,mean_direction
0FxsmwVeriw,train,Dataset_Shard_0000000_0099999,2,50,4.115083508379757,2.378542423248291,9.374940204620362,0.5182405931122449,-0.005156575596192852,0.25438735777512195,26.903088229099797
0FxsmwVeriw,train,Dataset_Shard_0000000_0099999,5,50,6.004885512590408,5.417628049850464,10.242171382904054,0.6871301020408163,0.06081888943910599,0.3542410196736455,3.212071411882643
0FxsmwVeriw,train,Dataset_Shard_0000000_0099999,10,50,5.153943871259689,3.5773112773895264,9.726348304748536,0.6180428890306122,-0.07446141682565212,0.288280819542706,10.058100636730527
0NN6ySHCHVA,train,Dataset_Shard_0000000_0099999,1,50,6.605765709877014,6.867587327957153,11.144821739196777,0.8151745854591838,-0.6267622945085168,0.8205338701792061,7.4487294709788845
0NN6ySHCHVA,train,Dataset_Shard_0000000_0099999,2,50,7.447861833572388,7.943704128265381,11.78400115966797,0.8415158641581633,-1.2386481112986802,-0.5936853379011154,-0.3158395972391483
0NN6ySHCHVA,train,Dataset_Shard_0000000_0099999,5,50,7.21031174659729,8.32555341720581,11.43077392578125,0.8248557079081632,0.0884047932550311,-0.03318928107619286,-5.900886812076924
0NN6ySHCHVA,train,Dataset_Shard_0000000_0099999,10,50,7.533042035102844,7.4453887939453125,10.500287437438965,0.9286176658163265,-0.3841336458176374,-0.1992412992939353,-6.341169141466839
0TJxBDyP9dw,train,Dataset_Shard_0000000_0099999,1,50,4.128844492435455,3.2806038856506348,8.669939613342287,0.45384406887755097,0.008202994428575038,-0.10827848482877016,-1.9446070652198801
0TJxBDyP9dw,train,Dataset_Shard_0000000_0099999,2,50,4.515133147239685,4.389018535614014,7.394440841674805,0.4826777742346939,-0.2884534861706197,-0.39571110635995865,-26.034205330992226
0TJxBDyP9dw,train,Dataset_Shard_0000000_0099999,5,50,4.5959561419487,4.633742094039917,7.560119342803955,0.48539660395408163,-0.16384584497660398,-0.29265168324112895,-16.001428510327855
0TJxBDyP9dw,train,Dataset_Shard_0000000_0099999,10,50,4.469779646396637,4.19128680229187,7.09009280204773,0.4979300860969388,-0.2059572220593691,-0.0336807244643569,19.811124539672615
0U2jrFZuBZM,train,Dataset_Shard_0000000_0099999,1,50,1.7200018858909607,1.1540761590003967,2.8762466430664073,0.31297154017857143,0.09361244368250482,0.2436373830959201,-1.5905541430145158
0U2jrFZuBZM,train,Dataset_Shard_0000000_0099999,2,50,1.9629604357481003,1.7192145586013794,3.8332033157348637,0.33254025829081635,0.14262390543706716,0.12705290995538235,25.002819602270733
0U2jrFZuBZM,train,Dataset_Shard_0000000_0099999,5,50,2.563653993606567,2.0946766138076782,4.566294813156128,0.3875,0.27378651045262814,0.21300686918199063,-3.607999311039434
0U2jrFZuBZM,train,Dataset_Shard_0000000_0099999,10,50,3.100669867992401,2.3842185735702515,5.925121498107912,0.5128455835459184,0.24523855447769166,-0.1349968680238817,4.171475050745173
0ZSqAjagrVo,train,Dataset_Shard_0000000_0099999,1,50,2.593245105445385,1.7975220680236816,5.728029441833499,0.4242414700255102,-0.2526020638085902,0.21914041115902363,17.324849321433163
0ZSqAjagrVo,train,Dataset_Shard_0000000_0099999,2,50,2.371103535592556,1.8177905082702637,4.364106988906862,0.45182358099489794,-0.024816672932356596,0.26935989437624813,16.939470757457386
