video_id,split,shard,temporal_distance,pairs,mean_ssim,median_ssim,std_ssim,mean_mae,mean_mse,mean_psnr
UFtV7H3fdIs,train,Dataset_Shard_0200000_0299999,10,50,0.5021570035815239,0.4412665218114853,0.23805919042549567,0.13897154662758113,0.048159811166115105,15.17282338879944
UQfPmUjyJUM,train,Dataset_Shard_0200000_0299999,10,50,0.5843213814496994,0.5969333648681641,0.12998402583983443,0.1317879507690668,0.048515912648290395,13.635573536386238
UTkGQGJkQcM,train,Dataset_Shard_0200000_0299999,10,50,0.21642893970012664,0.12599141895771027,0.1577472735140711,0.2617424115538597,0.11972033713012933,9.932409894907792
UVKesI-XW-I,train,Dataset_Shard_0200000_0299999,10,50,0.4393568375706673,0.47254587709903717,0.11733187155964359,0.12429185897111893,0.039201487209647896,14.78668053598687
UhLOi799970,train,Dataset_Shard_0200000_0299999,10,50,0.766484569311142,0.7815972566604614,0.07348311613102383,0.07202294871211051,0.021220732596702874,17.66282388981022
Ursk6DLqdv4,train,Dataset_Shard_0200000_0299999,10,50,0.7412569451332093,0.7790606021881104,0.11500053836604382,0.05984560403972864,0.012408642047084868,20.17086752133036
UzHgEVKrIqc,train,Dataset_Shard_0200000_0299999,10,50,0.3848107881844044,0.2612217590212822,0.24062978856306128,0.17789558179676532,0.07049111121334135,12.344733165188847
WNqNsRzvBvo,train,Dataset_Shard_0200000_0299999,10,50,0.7554495137929916,0.8184954226016998,0.15288862328165156,0.04756881237030029,0.012078885899391024,21.432709762768518
WQGAJwFwH0w,train,Dataset_Shard_0200000_0299999,10,50,0.5700338289141655,0.588773787021637,0.18667984281931368,0.12259484145790339,0.04710475230589509,14.660171919530944
WRYnLiiVC_o,train,Dataset_Shard_0200000_0299999,10,50,0.4684697511792183,0.5295459628105164,0.2570246549643425,0.1336704633757472,0.04801790008321404,15.113382551888197
WaNC6Haohmo,train,Dataset_Shard_0200000_0299999,10,50,0.6413906693458558,0.7543506324291229,0.23759488894068723,0.11301032908260822,0.03240460108965635,16.80620210420991
WomgOCKLrVc,train,Dataset_Shard_0200000_0299999,10,50,0.63650952398777,0.6609412431716919,0.09344484287353703,0.10214839033782482,0.03511112773790956,15.01280573659202
Wxgkda9YiHw,train,Dataset_Shard_0200000_0299999,10,50,0.29984713017940523,0.26785023510456085,0.1695152609844083,0.20131711095571517,0.08083520718850196,11.880327718457401
WzV4jMKBeew,train,Dataset_Shard_0200000_0299999,10,50,0.504443031847477,0.31395323574543,0.25986578437481667,0.1629415937140584,0.061886380361393094,13.84038861215522
X5tZRyCgJK8,train,Dataset_Shard_0200000_0299999,10,50,0.4938798528909683,0.49651244282722473,0.12857397224482908,0.14771894983947276,0.04970822617411613,13.840520685888942
X7orN2iRgls,train,Dataset_Shard_0200000_0299999,10,50,0.6648648917675019,0.7006092071533203,0.17079042066483843,0.07594748321920633,0.02080868461634964,18.245119807995977
XCsmC9bEuDg,train,Dataset_Shard_0200000_0299999,10,50,0.8301123882830143,0.8463359475135803,0.11273930305121939,0.05181714557111263,0.011967225610278546,20.73861954655364
XHK8f0jmGFw,train,Dataset_Shard_0200000_0299999,10,50,0.6809843611717225,0.7602649927139282,0.15529447272144498,0.10441823571920394,0.025626904191449286,16.76771678441907
XK0SUybge_0,train,Dataset_Shard_0200000_0299999,10,50,0.45998152762651445,0.4918968677520752,0.207107824333353,0.15389289356768132,0.057895189989358185,13.859908504498849
XRtazMBnC9Y,train,Dataset_Shard_0200000_0299999,10,50,0.732407905459404,0.7905412018299103,0.16716243937377387,0.0868078651279211,0.03127193962223828,15.994880540593504
XSkVffeCQ8c,train,Dataset_Shard_0200000_0299999,10,50,0.7275733184814454,0.715377002954483,0.17816214784339188,0.09927172942087054,0.03654889365658164,17.83023609890712
Xb5EGVKJPoI,train,Dataset_Shard_0200000_0299999,10,50,0.4186785835027695,0.3239213228225708,0.1759502938260927,0.16702192313969136,0.06284820176661014,12.496933600979578
XhaQLBKD6Sc,train,Dataset_Shard_0200000_0299999,10,50,0.3828389045596123,0.3698395937681198,0.15176557318501696,0.178728893622756,0.06658644480630756,12.24824893629075
Xkv0iBd50dQ,train,Dataset_Shard_0200000_0299999,10,50,0.6299542185664176,0.7163983285427094,0.19124057519523782,0.11957798808813096,0.044427480399608615,14.36785708158261
Xr0VL5ak2YA,train,Dataset_Shard_0200000_0299999,10,50,0.7108352828025818,0.7188009917736053,0.05455342010639462,0.08206650733947754,0.024370675273239613,16.333904226884258
Y1rsLA_zWpw,train,Dataset_Shard_0200000_0299999,10,50,0.6642032524943352,0.6993478536605835,0.14050851869619876,0.08773160219192505,0.02655715850647539,17.109242630138997
YLFEJ_74Qps,train,Dataset_Shard_0200000_0299999,10,50,0.503701511323452,0.48459355533123016,0.21595786633050693,0.1587752841413021,0.07361850222572684,12.61050175751337
YTTraNue048,train,Dataset_Shard_0200000_0299999,10,50,0.30560122668743134,0.24130617082118988,0.15594649648106867,0.1846379093825817,0.06214382505975664,12.71677628548804
YUA8cOH4wTA,train,Dataset_Shard_0200000_0299999,10,50,0.5617663598060608,0.5910693109035492,0.1501095113799371,0.11041546802967787,0.04227235333994031,14.394745099847093
Yg5Ssy3qkgQ,train,Dataset_Shard_0200000_0299999,10,50,0.41603974521160125,0.4154083728790283,0.17470650173305718,0.13601488448679447,0.04679629511199892,14.334918178038977
Ykj7lbApeTs,train,Dataset_Shard_0200000_0299999,10,50,0.7140665256977081,0.7114887833595276,0.1300182184864997,0.09322438577190041,0.03241175664123148,16.200317894863655
YweVXE4EVWM,train,Dataset_Shard_0200000_0299999,10,50,0.7192491102218628,0.7675331234931946,0.13194991304727655,0.06283308934420347,0.018305749418213963,19.147126136364992
Z3wah38KgoA,train,Dataset_Shard_0200000_0299999,10,50,0.7259099531173706,0.7234747111797333,0.09859718793533859,0.07138195669278502,0.018132254669908435,18.420586546774363
ZBsE2JWimj0,train,Dataset_Shard_0200000_0299999,10,50,0.5444712939858437,0.6214428246021271,0.20946045934434257,0.13119807947427034,0.05574457164853811,13.609879377241395
ZPGB4_jJCyc,train,Dataset_Shard_0200000_0299999,10,50,0.2858623053133488,0.2664072513580322,0.12055214030618995,0.17466756271198391,0.06041908029932529,12.834372716946909
Z_Nk-d3D3VI,train,Dataset_Shard_0200000_0299999,10,50,0.7828498136997223,0.7852055132389069,0.058879158010130196,0.04984253540635109,0.013963071955367922,19.529293129453446
ZbjWbqnnYyE,train,Dataset_Shard_0200000_0299999,10,50,0.6444051575660705,0.7159741818904877,0.1502001970503097,0.11062341146171092,0.036553203482180836,15.57020727619876
Zcn7rbz3Xqc,train,Dataset_Shard_0200000_0299999,10,50,0.6037016919255257,0.6780066788196564,0.21245519574864064,0.11360261298716068,0.04174421957693994,15.011335562702795
aIi6zkwglCM,train,Dataset_Shard_0200000_0299999,10,50,0.6546542793512344,0.8072879910469055,0.29312528456804493,0.10850734036415816,0.04251660303678364,18.35823131269589
aKAbodQ83uk,train,Dataset_Shard_0200000_0299999,10,50,0.7033525323867797,0.737073689699173,0.12750199086690459,0.09356653794646264,0.027114822934381663,17.081846742821224
aUad-7rZkQE,train,Dataset_Shard_0200000_0299999,10,50,0.8119224049150944,0.839692085981369,0.13934409072837978,0.05038019655272365,0.014808093246538192,20.467585548771048
aq7naPyd_ps,train,Dataset_Shard_0200000_0299999,10,50,0.7941594982147216,0.8561152815818787,0.17404117569405023,0.04794587163254618,0.013793212017044426,19.977855962946133
aykwHkSTKps,train,Dataset_Shard_0200000_0299999,10,50,0.5650440847873688,0.6458652019500732,0.21305081439165224,0.11894145956262946,0.039346485147252676,16.36215939906323
b4wQRPqpcHo,train,Dataset_Shard_0200000_0299999,10,50,0.4504424937069416,0.30222776532173157,0.2626568969646418,0.18407324496656657,0.08280671333777719,12.42450312298
b7nnK-iWh_s,train,Dataset_Shard_0200000_0299999,10,1,0.8136788010597229,0.8136788010597229,0.0,0.034264203161001205,0.007408292032778263,21.302819062229453
b7nnK-iWh_s,train,Dataset_Shard_0300000_0399999,10,49,0.7208225751409725,0.7556762099266052,0.12167582880871641,0.07588876677410943,0.025697442988047794,17.425054163174853
bDs_lr_2dpg,train,Dataset_Shard_0300000_0399999,10,50,0.8639012551307679,0.8888792395591736,0.10379539767073488,0.03676767723634839,0.008611092084320262,22.554622950085673
bGaEvKvZWas,train,Dataset_Shard_0300000_0399999,10,50,0.5101704010367394,0.6080866456031799,0.20209621048795165,0.14491065710783005,0.06499832505360245,12.726925650628417
bQ869A6Z27I,train,Dataset_Shard_0300000_0399999,10,50,0.2858350858092308,0.17737919092178345,0.20272503318872442,0.22956799425184726,0.09251263115555047,10.939365620593389
bf8S2Tnk5-c,train,Dataset_Shard_0300000_0399999,10,50,0.6534035634994507,0.664252370595932,0.12254279631499304,0.1424093597382307,0.036795989675447345,15.576830054737789
bkQ5uGu5qE8,train,Dataset_Shard_0300000_0399999,10,50,0.710532263815403,0.7552827894687653,0.2034611915023489,0.0732762310653925,0.019893407304771245,18.374272941935104
bnVPLUTCR7U,train,Dataset_Shard_0300000_0399999,10,50,0.495065715610981,0.4930677115917206,0.21980729976502308,0.14584327526390553,0.05703110160306096,13.552922452692417
btNRAupsVCA,train,Dataset_Shard_0300000_0399999,10,50,0.48845995277166365,0.5530976355075836,0.24228453942416572,0.14053375486284495,0.050994863361120225,14.152752596690515
c2Gd126Ko_w,train,Dataset_Shard_0300000_0399999,10,50,0.37048573419451714,0.3299809545278549,0.2333488781495769,0.19918452441692353,0.08510257126763462,11.667406378026906
c7Al1YuIwUI,train,Dataset_Shard_0300000_0399999,10,50,0.44268708616495134,0.305294930934906,0.2627650744400366,0.12793286673724652,0.03668900535907596,16.056009477110724
cCQSFjK9mhw,train,Dataset_Shard_0300000_0399999,10,50,0.8151098734140396,0.867256224155426,0.16911412921392846,0.0563449539244175,0.02122240879572928,21.36885402182264
cF3FypUIZhA,train,Dataset_Shard_0300000_0399999,10,50,0.6035858273506165,0.6174655854701996,0.15048432972601447,0.11398017592728138,0.04447796685621142,14.24290935038184
cFUZYGRYK94,train,Dataset_Shard_0300000_0399999,10,50,0.15886845871806143,0.15864065289497375,0.052882774211767486,0.2772361001372337,0.12238818623125552,9.2604549464187
cPcyix9lBG0,train,Dataset_Shard_0300000_0399999,10,50,0.5011243540048599,0.5075766742229462,0.10304144152080039,0.13019533060491084,0.04780889242887497,13.556828133870518
cQAkgnu0KNE,train,Dataset_Shard_0300000_0399999,10,50,0.7371755033731461,0.7635436356067657,0.12529166268299158,0.08581080205738545,0.02313659293577075,17.12340061063169
cTIbhq8KHSM,train,Dataset_Shard_0300000_0399999,10,50,0.5418058544397354,0.6278363168239594,0.24053354139018346,0.11603277247399092,0.03733680476434529,15.41204536223137
ciLvB2zwaOE,train,Dataset_Shard_0300000_0399999,10,50,0.5995849370956421,0.611199140548706,0.1526576656466097,0.12993059936910867,0.0453533343039453,14.586479202309974
ck3jZjhnQ84,train,Dataset_Shard_0300000_0399999,10,50,0.6918938282132149,0.7764218151569366,0.19823546068148534,0.0897576387412846,0.028949528760276736,18.392159519377365
cqUD7jK9olE,train,Dataset_Shard_0300000_0399999,10,50,0.47244117021560667,0.4976624995470047,0.2325836322195301,0.1554873200878501,0.06459915220737457,13.754063305640019
cxKVZ0NO0V4,train,Dataset_Shard_0300000_0399999,10,50,0.6833378750085831,0.6931166052818298,0.1084064314960929,0.10171365924179554,0.03268718371167779,15.791050596877579
d21L6jFe6C8,train,Dataset_Shard_0300000_0399999,10,50,0.5453504398465157,0.5431659817695618,0.13425982731300803,0.14245970495045185,0.04922858467325568,14.069492802848737
d9IvvjcFxp8,train,Dataset_Shard_0300000_0399999,10,50,0.815317131280899,0.8684059083461761,0.13874001815669929,0.06288110475987196,0.027378529580309986,17.5381189694769
dadeCjt1zZ8,train,Dataset_Shard_0300000_0399999,10,50,0.5408332341909409,0.5513535141944885,0.1078629015874323,0.1291126424074173,0.05224551136605442,13.747237751458684
dpttD5WWzs0,train,Dataset_Shard_0300000_0399999,10,50,0.6015616442263126,0.6070417165756226,0.12297207077998075,0.12608972243964672,0.04013102620840073,14.516316508021108
dtf0Qt8rCPE,train,Dataset_Shard_0300000_0399999,10,50,0.5692042070627212,0.559493213891983,0.13967640691864705,0.12828110154718161,0.04387179110199213,14.582034703302401
e63J3OFgS7M,train,Dataset_Shard_0300000_0399999,10,50,0.6743806302547455,0.6822434067726135,0.1302815496165247,0.10885124024003744,0.03404516615672037,15.85487646288039
eAyLA25v2ls,train,Dataset_Shard_0300000_0399999,10,50,0.3546039028465748,0.277118444442749,0.22460051066775283,0.18551008366048335,0.07349755201488734,12.570169365928884
eC9gwP4mNPQ,train,Dataset_Shard_0300000_0399999,10,50,0.3533424010872841,0.3518984168767929,0.19993856518359912,0.19373620830476285,0.07604483971372247,12.054050286986808
ePQhPKVW2vk,train,Dataset_Shard_0300000_0399999,10,50,0.48094532668590545,0.5179169178009033,0.2032052587988249,0.18861568331718445,0.0853219404630363,12.395899862874467
eVYUkO383bM,train,Dataset_Shard_0300000_0399999,10,50,0.6124509939551354,0.6474386751651764,0.18653447701802978,0.11691866599023343,0.041081981053575876,15.394374380963438
eg5ydF06A9U,train,Dataset_Shard_0300000_0399999,10,50,0.7109348621964454,0.7199447154998779,0.09720564725005817,0.0859887434542179,0.03682622696273029,14.877759927385618
euGB9ACrIrg,train,Dataset_Shard_0300000_0399999,10,50,0.5690191328525543,0.6185464262962341,0.17353758395191643,0.12108021110296249,0.04374713095836341,14.818263817799242
f10cdSfKzdc,train,Dataset_Shard_0300000_0399999,10,50,0.3732307434082031,0.2015683650970459,0.2192655586858572,0.16936575777828694,0.06226236447691917,12.972567017388563
fGK4CtMVIGk,train,Dataset_Shard_0300000_0399999,10,50,0.6876745218038559,0.7327951788902283,0.181627732547186,0.08947511052712798,0.03502104941755533,15.753647777062922
fJ0BU_4rY28,train,Dataset_Shard_0300000_0399999,10,50,0.47782076716423033,0.5252223610877991,0.23333643110541602,0.1551263403147459,0.056042950600385666,13.380890667426442
fM0ea2tSBNQ,train,Dataset_Shard_0300000_0399999,10,50,0.49988991737365723,0.3762771636247635,0.23508160184596832,0.12158180648460984,0.04089562149485573,16.01444691681921
fVXYoBINHcs,train,Dataset_Shard_0300000_0399999,10,50,0.44969948023557665,0.44599854946136475,0.1448400881036742,0.1873960456252098,0.08269278418272734,11.394496868361871
fcmXnubsug8,train,Dataset_Shard_0300000_0399999,10,50,0.4341585835814476,0.3150918036699295,0.2134823942360964,0.18654525958001614,0.06977130350656807,13.034626710589954
fj1Kji79nQ8,train,Dataset_Shard_0300000_0399999,10,50,0.617440205514431,0.6775093078613281,0.2388151821250466,0.13449094094336034,0.0613933992665261,13.517864020390595
g0YkYrnLS_A,train,Dataset_Shard_0300000_0399999,10,50,0.5227303801476956,0.5218717753887177,0.22301410954748366,0.1745282132178545,0.0795482875034213,12.783095598764948
g6LFKsNbbnw,train,Dataset_Shard_0300000_0399999,10,50,0.5165714150667191,0.3956070989370346,0.1894182442819173,0.160480502396822,0.06269270312041045,12.393827397363102
gFTV_Kjw3OE,train,Dataset_Shard_0300000_0399999,10,50,0.6870483070611954,0.7137565016746521,0.13381248545173477,0.0846821290254593,0.02997702705208212,16.808941510094755
gKgHFMHDn3g,train,Dataset_Shard_0300000_0399999,10,50,0.4055596178770065,0.3401900827884674,0.15276683977248356,0.18592299938201903,0.06693140625953674,12.494480662093551
gQW3RFC0ofo,train,Dataset_Shard_0300000_0399999,10,50,0.5533177369832992,0.6958179473876953,0.29160712862607524,0.10813593121245503,0.03749498222954571,16.416124742003454
gQmCY2PXvtQ,train,Dataset_Shard_0300000_0399999,10,50,0.695583564043045,0.693164587020874,0.148421404844787,0.09174382131546736,0.03278555635828525,16.191358326732477
gRZZVFAq8-s,train,Dataset_Shard_0300000_0399999,10,50,0.509445863366127,0.5371088981628418,0.18621756407397075,0.12193356327712536,0.03982640499249101,14.885289144171086
gZNb0Jwiu7c,train,Dataset_Shard_0300000_0399999,10,50,0.4528291618824005,0.48119933903217316,0.16867524844649195,0.15039346382021904,0.04795155353844166,14.020409294565583
gcMtz5Gyj2A,train,Dataset_Shard_0300000_0399999,10,50,0.8814746189117432,0.8797781765460968,0.03581976363573839,0.032985079530626536,0.007905595717020333,21.959313786859855
gcsbxVIuYr4,train,Dataset_Shard_0300000_0399999,10,50,0.4109574043750763,0.39855310320854187,0.10939766461294258,0.11027689985930919,0.03315048512071371,15.40809644437692
gdh2-9qm8fE,train,Dataset_Shard_0300000_0399999,10,50,0.7193835794925689,0.7277993559837341,0.07580239247512195,0.09293738525360823,0.03736501658335328,14.972825286287277
gpSJUuKG1rY,train,Dataset_Shard_0300000_0399999,10,50,0.6036678439378739,0.6609296798706055,0.1760779707659866,0.11727686416357756,0.040946663450449707,14.934122011462938
gtUBWqX0ceM,train,Dataset_Shard_0300000_0399999,10,50,0.4252260109782219,0.29527364671230316,0.24343896706768098,0.18546092092990876,0.07379287460818887,12.724009955961046
h6yjx26N9WE,train,Dataset_Shard_0300000_0399999,10,50,0.668762109875679,0.689790815114975,0.14802588864675545,0.08957535091787577,0.03308765215333551,17.357658926089915
